ElementsCount,RoomType,MovementType,NeededTime
10,1,0,00:22.16
20,2,1,01:05.71
10,1,0,00:04.82
10,1,0,00:24.18
70,2,0,00:00.00
20,2,0,00:00.00
20,2,0,00:00.00
20,2,0,00:00.00
20,2,0,00:00.00
20,2,0,00:00.00
20,2,0,00:00.00
20,2,0,00:00.00
20,2,0,00:00.00
20,2,0,00:00.00
20,2,0,00:00.00
20,2,0,00:00.00
20,2,0,00:00.00
20,2,0,00:00.00
20,2,0,00:00.00
20,2,0,00:00.00
20,2,0,00:00.00
20,2,0,00:00.00
20,2,0,00:00.00
20,2,0,00:00.00
20,2,0,00:00.00
20,2,0,00:00.00
20,2,0,00:00.00
20,2,0,00:00.00
20,2,0,00:00.00
20,2,0,00:00.00
20,2,0,00:00.00
20,2,0,00:00.00
10,2,0,00:32.75
10,2,0,00:23.59
10,2,0,00:23.59
10,2,0,00:23.59
10,2,0,00:23.59
10,2,0,00:23.59
10,2,0,00:17.70
10,2,0,00:36.19
10,2,0,00:36.19
10,2,0,00:33.30
10,2,0,00:07.68
10,2,0,00:00.00
10,2,0,00:56.42
10,2,0,00:18.59
10,0,0,00:26.87
10,2,0,00:00.00
10,2,0,00:00.00
10,2,0,00:00.00
10,2,0,00:00.00
10,2,0,00:00.00
10,2,0,00:00.00
10,2,0,00:00.00
10,2,0,00:00.00
10,2,0,00:00.00
10,2,0,00:00.00
10,2,0,00:00.00
10,2,0,00:00.00
10,2,0,00:00.00
10,2,0,00:00.00
10,2,0,00:00.00
10,2,0,00:00.00
10,2,0,00:00.00
10,2,0,00:00.00
10,2,0,00:00.00
10,2,0,00:00.00
10,2,0,00:00.00
10,2,0,00:00.00
10,2,0,00:00.00
10,2,0,00:00.00
10,2,0,00:00.00
10,2,0,00:00.00
10,2,0,00:00.00
10,2,0,00:01.74
15,2,0,02:05.52
15,2,0,02:30.20
15,2,0,00:21.46
15,2,0,00:46.81
